citizenID,mortdue,value,derog,delinq,clage,ninq,clno,debtinc
001203010000,275933,267283,5,15,355.48252,4,38,97.13417
001203010001,58536,361962,7,11,370.3331,12,22,39.32728
001203010002,470760,438516,3,8,286.39931,5,50,71.37818
001203010003,49494,343232,5,0,246.47386,4,11,58.80717
001203010004,82908,715381,10,9,123.5491,1,52,84.94049
001203010005,185467,336795,4,10,170.29704,0,28,61.57216
001203010006,52068,911438,1,6,364.81949,7,61,58.55924
001203010007,188149,374200,4,3,275.86016,11,12,80.40911
001203010008,472539,205752,8,4,141.40411,11,74,11.20022
001203010009,157971,945811,9,4,427.57775,11,58,98.78689
001203010010,355226,710859,4,2,262.83253,8,71,12.44199
001203010011,359525,180810,3,12,223.03256,6,60,56.54506
001203010012,63482,400026,10,12,440.58544,19,49,52.82708
001203010013,103105,443630,8,13,259.79467,2,26,95.67036
001203010014,428672,277217,7,11,410.58905,6,73,54.84144
001203010015,168987,169511,2,3,100.93885,19,65,54.0846
001203010016,211304,366341,3,8,108.80806,7,29,73.59483
001203010017,253641,207387,4,4,138.31426,1,14,18.27078
001203010018,22064,407790,3,2,428.75982,11,0,57.97155
001203010019,227369,934578,1,9,423.63677,9,74,28.90738
001203010020,460583,414197,2,0,388.39224,17,31,69.0708
001203010021,63772,348726,9,1,190.48044,12,13,18.39135
001203010022,57904,209823,7,7,347.3985,13,57,75.11514
001203010023,431138,822788,1,5,307.21536,11,56,31.59308
001203010024,226228,637492,7,14,205.52609,3,63,24.59877
001203010025,30363,347420,10,0,447.19963,17,66,92.17374
001203010026,106417,571361,7,11,378.03976,11,5,87.22915
001203010027,450334,970803,1,8,239.58127,19,24,57.37784
001203010028,322305,805612,7,9,361.83134,5,62,83.69026
001203010029,52147,531659,9,9,251.28961,9,65,48.83776
001203010030,184803,481589,6,13,158.24118,0,60,79.61599
001203010031,323142,739269,1,10,177.16605,19,10,48.7202
001203010032,488031,590785,0,11,168.98403,7,48,33.63238
001203010033,197578,891039,2,11,221.98702,0,27,82.11923
001203010034,245064,724363,7,10,490.89622,4,4,22.62592
001203010035,431624,729285,10,11,359.47191,6,76,87.56317
001203010036,187373,889556,7,10,123.17638,3,77,34.85643
001203010037,133021,697268,10,14,365.42975,18,23,44.88259
001203010038,423062,858730,8,7,394.61644,19,13,17.00978
001203010039,249193,824848,8,0,362.95064,5,22,88.28012
001203010040,443028,257676,1,9,324.2482,16,45,20.54815
001203010041,127825,471963,1,6,191.03327,7,6,67.15993
001203010042,273037,919281,4,5,314.00648,7,39,62.54152
001203010043,13478,133877,2,2,381.48347,20,42,46.64596
001203010044,479011,662309,1,4,229.75629,2,60,87.03941
001203010045,206059,666080,3,7,444.93332,0,8,62.14917
001203010046,269914,463250,5,10,266.92252,0,69,39.93657
001203010047,380303,104289,10,3,353.07741,7,16,87.59018
001203010048,74036,195445,10,13,260.07467,17,4,42.5632
001203010049,94130,213647,10,0,119.91575,3,12,36.91414
001203010050,50729,799144,0,3,237.6079,7,41,44.97534
001203010051,199869,706286,7,14,483.52601,3,64,39.29091
001203010052,339064,217572,8,4,216.64038,15,64,81.30914
001203010053,290209,368397,1,0,497.04626,3,73,86.67011
001203010054,147039,694453,9,14,203.73305,20,77,57.77242
001203010055,366467,952036,9,12,254.99836,2,45,28.89718
001203010056,208848,133632,7,9,332.84407,6,63,86.30986
001203010057,393676,535473,10,3,267.0596,8,2,91.1207
001203010058,40457,723837,3,8,414.89686,6,62,35.67102
001203010059,339301,750516,2,3,139.095,6,32,36.77505
001203010060,385572,608132,9,10,492.84485,17,61,18.74439
001203010061,222658,978920,6,1,484.12365,8,77,35.27362
001203010062,358090,486758,1,2,119.7885,7,17,32.90535
001203010063,243284,922120,3,1,481.71175,14,47,59.68916
001203010064,177378,305303,6,10,432.80684,0,60,86.28414
001203010065,139477,724139,8,14,474.40447,11,29,20.09478
001203010066,184691,281856,7,11,403.66571,7,34,89.37203
001203010067,424089,558073,4,13,400.80665,1,18,73.72243
001203010068,415727,302149,9,11,125.34568,1,42,66.85534
001203010069,231899,165611,1,14,145.08321,8,56,52.05425
001203010070,444504,755991,9,11,498.67223,16,67,30.93788
001203010071,155376,458557,4,1,405.11838,14,14,89.50314
001203010072,290943,666522,3,13,463.24115,11,79,44.64761
001203010073,55663,288880,5,5,257.44716,4,48,24.46368
001203010074,397668,491784,4,1,186.23096,14,65,85.76605
001203010075,223455,150955,7,12,356.82116,18,78,75.08122
001203010076,454517,703299,5,6,457.59263,10,64,57.21078
001203010077,271607,359509,5,9,233.07422,10,54,60.38138
001203010078,402376,999690,5,4,145.46711,13,47,79.9275
001203010079,495934,340993,2,4,386.9074,7,34,32.294
001203010080,20778,511435,7,0,446.10736,0,23,45.14297
001203010081,254715,362515,6,14,188.42971,8,49,18.26262
001203010082,41801,682948,8,8,435.33379,6,30,38.25475
001203010083,474831,764493,5,4,130.15418,1,42,60.81237
001203010084,185824,328575,5,4,292.73975,5,51,29.21036
001203010085,184861,663981,5,12,143.32816,5,59,84.74792
001203010086,277644,378144,10,1,440.6478,14,28,63.72624
001203010087,183973,751466,6,15,311.22276,8,1,55.98894
001203010088,361230,740299,3,11,388.12373,1,39,89.63154
001203010089,250616,294794,5,14,253.33316,15,63,41.89133
001203010090,250983,520375,10,10,472.80829,6,9,17.47309
001203010091,197042,677121,2,13,169.93031,6,2,27.98795
001203010092,105012,957916,10,8,161.55885,10,30,75.1776
001203010093,399522,565029,5,12,248.54226,0,16,68.86141
001203010094,154246,949164,9,14,492.21208,18,69,53.62594
001203010095,74653,543775,0,7,387.06774,3,46,93.79115
001203010096,51038,331070,1,2,411.25442,17,31,71.63613
001203010097,371897,254187,5,14,269.99151,18,56,38.12719
001203010098,209741,433444,0,12,493.8013,14,70,66.94795
001203010099,360659,373210,7,6,409.2943,4,55,37.28454
001203010100,55628,759670,2,5,489.57237,18,8,91.09582
001203010101,284282,216076,5,6,343.53071,12,76,12.75794
001203010102,473847,843085,5,3,415.34768,20,52,40.90208
001203010103,23073,998057,7,12,436.32635,18,63,27.51549
001203010104,66611,247807,1,11,469.92497,7,52,29.88095
001203010105,468106,857277,4,1,127.32877,20,28,95.94368
001203010106,494307,693867,8,9,309.289,3,29,94.0003
001203010107,384785,908820,8,0,245.39774,7,32,42.83278
001203010108,101612,570784,10,7,349.78924,8,15,22.19868
001203010109,459089,459211,8,13,308.35899,8,32,22.2622
001203010110,69624,454085,5,2,432.88192,8,44,33.69032
001203010111,59264,944646,1,13,155.9975,8,49,95.18074
001203010112,452488,372799,2,5,453.14243,9,12,69.6592
001203010113,488889,810369,4,8,144.59455,6,76,33.44556
001203010114,295964,882208,5,13,179.32606,6,43,63.5404
001203010115,450272,774222,8,10,407.88403,0,31,55.7141
001203010116,80463,699982,3,14,235.98841,13,16,26.15236
001203010117,201578,996003,0,12,461.24671,5,56,54.55365
001203010118,316031,181731,4,11,140.69209,19,79,48.58649
001203010119,301969,951135,9,15,488.56989,9,77,45.35325
001203010120,351285,122517,1,6,219.75394,8,17,98.12035
001203010121,260460,135146,6,5,418.11364,18,69,59.15516
001203010122,271877,909768,4,3,457.46433,5,16,43.22128
001203010123,37441,130714,1,11,166.29111,16,61,23.84321
001203010124,93736,247229,8,13,472.52708,16,65,55.28531
001203010125,422167,179261,5,13,421.73506,14,10,54.56425
001203010126,139375,257505,3,4,205.3606,12,71,31.31004
001203010127,327543,391407,2,0,186.66566,20,25,40.81504
001203010128,191716,147553,8,1,153.04193,19,45,96.93746
001203010129,214898,122539,6,3,357.39264,10,33,26.21318
001203010130,413221,772933,7,8,220.34977,5,34,96.83323
001203010131,257123,528102,8,8,466.52501,12,9,65.30019
001203010132,422948,845527,8,14,486.6276,18,9,10.72268
001203010133,488056,494935,10,14,453.10953,10,72,27.89966
001203010134,447479,933421,7,6,458.99159,19,71,34.17726
001203010135,244123,206837,10,2,290.58068,16,76,28.93394
001203010136,181045,935380,5,2,361.79576,17,8,83.31397
001203010137,41328,167556,0,13,401.4855,16,33,86.67272
001203010138,480280,363900,10,1,113.77578,19,77,98.91239
001203010139,222379,275019,4,7,337.55853,13,45,13.5704
001203010140,370049,325674,1,10,227.66748,10,29,68.99559
001203010141,180869,109582,3,1,119.26352,8,15,88.76653
001203010142,202140,121929,9,8,498.09397,2,40,79.69294
001203010143,372670,307749,8,5,336.54312,16,7,10.6334
001203010144,74230,860164,6,2,300.79905,18,26,38.96224
001203010145,94522,786982,4,4,366.57176,17,43,61.73212
001203010146,317300,473547,3,4,291.41295,11,75,84.8519
001203010147,441832,742064,10,9,222.47317,1,5,74.91873
001203010148,331966,979663,7,15,279.80761,6,18,97.93667
001203010149,231524,441179,8,7,251.72471,15,10,46.57383
001203010150,407846,735529,1,5,174.79697,16,4,40.04925
001203010151,160733,474780,3,0,493.32715,7,40,31.86698
001203010152,349780,697673,3,0,325.0231,0,18,68.44123
001203010153,197263,118763,0,1,409.37295,10,22,73.99345
001203010154,222220,637167,1,6,356.04682,16,36,17.32947
001203010155,120235,887149,8,6,176.76124,5,49,16.38713
001203010156,440742,273822,5,14,486.31245,13,47,32.5045
001203010157,444229,824095,8,6,248.79378,14,44,17.59482
001203010158,303786,968941,4,8,341.02481,19,31,72.48559
001203010159,105149,402256,2,5,117.14301,8,28,74.85032
001203010160,267294,279630,6,11,406.58192,0,56,70.8628
001203010161,211489,318107,7,14,120.43438,10,68,26.68371
001203010162,159391,769514,1,9,200.78049,19,9,20.73462
001203010163,239916,943612,7,2,300.51826,14,20,36.5297
001203010164,12087,874481,2,2,289.30776,17,37,46.91471
001203010165,245734,937844,3,6,158.9941,3,45,51.65692
001203010166,128047,138478,8,5,218.15103,19,51,24.01966
001203010167,398623,873294,4,9,231.26633,6,40,60.0603
001203010168,357879,190047,4,12,126.44325,7,39,27.87919
001203010169,168440,195179,7,12,499.55709,14,3,65.59414
001203010170,116866,366874,3,6,259.62011,19,56,59.40515
001203010171,357185,229415,8,2,403.9058,13,13,34.60711
001203010172,339425,918663,5,12,397.27958,16,6,80.72069
001203010173,205916,921399,6,1,117.47136,9,46,43.43594
001203010174,117122,257989,9,6,489.18039,12,8,82.04881
001203010175,117683,497308,10,13,477.04323,8,51,30.81831
001203010176,436266,878876,2,0,296.0042,9,50,12.14098
001203010177,354875,547960,7,2,356.8082,11,66,28.35504
001203010178,43276,418395,7,0,236.24158,8,11,76.72299
001203010179,145782,955226,5,3,465.15022,1,57,52.50806
001203010180,141122,881162,6,0,285.22816,6,26,74.03132
001203010181,168261,754676,8,3,146.29486,14,47,21.85135
001203010182,80283,945549,1,15,469.22858,18,45,32.81881
001203010183,350100,966826,5,11,123.81548,6,75,34.55701
001203010184,241896,786504,10,6,259.15171,10,20,97.37321
001203010185,23657,656017,7,8,385.21156,11,2,22.10949
001203010186,18135,885462,9,11,341.28673,12,37,54.75469
001203010187,443854,213855,6,6,267.09132,13,2,42.03624
001203010188,154978,601429,4,8,100.35633,20,36,35.61416
001203010189,491199,195364,2,14,265.58118,18,32,71.06875
001203010190,125973,504095,0,9,169.05645,5,18,22.01258
001203010191,99918,469654,5,3,114.17957,8,49,74.72306
001203010192,387300,194818,10,10,222.54013,15,49,86.39641
001203010193,34416,353649,5,10,491.43065,14,74,82.153
001203010194,323772,707994,1,13,150.74565,1,39,40.32905
001203010195,261746,819973,7,4,391.31987,6,35,34.22529
001203010196,357451,886521,10,11,320.78635,6,23,25.96699
