transID,fromBankAccount,toBankAccount,amount,method,status,surplus,fees,typeID,content,createDate
1,9274922399,6303485293,16476138.28,atm card,success,40705375.67,3295.23,10,9274922399 chuyen den 6303485293,2024-09-12 00:00:20
2,3960086839,3052928452,27267464.15,credit card,success,30649018.09,5453.49,7,3960086839 chuyen den 3052928452,2024-09-12 00:00:40
3,8203283023,1333924038,36924160.77,debit card,success,12147696.58,7384.83,9,8203283023 chuyen den 1333924038,2024-09-12 00:01:00
4,2843848429,6496913603,1584641.31,debit card,success,48069076.51,316.93,5,2843848429 chuyen den 6496913603,2024-09-12 00:01:20
5,3960086839,1333924038,47777001.62,atm card,success,40069184.29,9555.4,1,3960086839 chuyen den 1333924038,2024-09-12 00:01:40
6,8203283023,3052928452,43510732.25,debit card,success,9312809.0,8702.15,8,8203283023 chuyen den 3052928452,2024-09-12 00:02:00
7,6303485293,5920548482,43232861.54,debit card,success,21859869.12,8646.57,1,6303485293 chuyen den 5920548482,2024-09-12 00:02:20
8,6496913603,3960086839,31213460.6,debit card,success,21328687.8,6242.69,1,6496913603 chuyen den 3960086839,2024-09-12 00:02:40
9,6496913603,3960086839,12352867.62,debit card,success,41025232.83,2470.57,3,6496913603 chuyen den 3960086839,2024-09-12 00:03:00
10,6496913603,6303485293,35004858.81,debit card,success,24479046.07,7000.97,2,6496913603 chuyen den 6303485293,2024-09-12 00:03:20
11,9274922399,3052928452,28604587.68,atm card,success,43892998.9,5720.92,6,9274922399 chuyen den 3052928452,2024-09-12 00:03:40
12,6496913603,7976125545,6076337.55,credit card,success,25597448.43,1215.27,9,6496913603 chuyen den 7976125545,2024-09-12 00:04:00
13,2843848429,3960086839,35461955.16,atm card,success,14577782.45,7092.39,1,2843848429 chuyen den 3960086839,2024-09-12 00:04:20
14,9274922399,2843848429,17943116.14,debit card,success,19441438.87,3588.62,2,9274922399 chuyen den 2843848429,2024-09-12 00:04:40
15,9274922399,1333924038,9053864.16,wire transfer,success,9433654.38,1810.77,1,9274922399 chuyen den 1333924038,2024-09-12 00:05:00
16,6303485293,7976125545,47050103.28,atm card,success,7587258.3,9410.02,3,6303485293 chuyen den 7976125545,2024-09-12 00:05:20
17,3052928452,8203283023,11356809.89,wire transfer,success,34927558.18,2271.36,9,3052928452 chuyen den 8203283023,2024-09-12 00:05:40
18,5920548482,8203283023,5974413.75,debit card,success,4999973.24,1194.88,7,5920548482 chuyen den 8203283023,2024-09-12 00:06:00
19,6496913603,8203283023,17813634.28,debit card,success,44076209.89,3562.73,5,6496913603 chuyen den 8203283023,2024-09-12 00:06:20
